title,price,rating
"Tecno CAMON 18 Premier, 6.7"", 256GB+ 8GB (Dual SIM), 4750mAh, Vast Sky","KSh 28,499",4.9 out of 5
"Tecno Pop 6 Go, 6""display Screen Size,(32GB + 2GB) (Dual SIM), 4000mAh,Grey","KSh 9,899",5 out of 5
Apple IPhone 5S 16GB 4inch 4G LTE 8MP Fingerprint 95% New Refurbished IOS Smartphone,"KSh 9,053",3.7 out of 5
"Nokia 106 Dual Sim, [4MB RAM + 4MB ROM], 1.8'', 21 Days Standby-800mAh+Free Band Watch","KSh 1,990",3 out of 5
"XIAOMI Redmi A1+, Display 6.52''// 2GB+32GB//8MP// 5000mAh// 4G LTE//Ksly+BT+O+C+MW+R-Blue","KSh 10,699",3.8 out of 5
"Blackview A80S Smartphone, Android 10.0, HD Camera, 4/64G Memory,4200Mah Battery- Black","KSh 11,937",4.4 out of 5
XIAOMI POCO M5 4GB + 128GB 6.58'' IPS LCD 50MP 5000mAh 4G LTE Smartphone - Black,"KSh 17,999",0 out of 5
Not found,error,error
Generic New I13proMax All-in-one Android Smartphone 6.1 Inch 4+128GB,"KSh 9,387",0 out of 5
"Samsung Galaxy A03, 6.5"", 32GB + 3GB RAM (Dual SIM), 5000mAh, Black","KSh 13,343",4.4 out of 5
Not found,error,error
"Itel 2173, 1.8'', 32MB + 32MB (Dual SIM), 1000mAh, Black","KSh 1,454",4 out of 5
"Tecno Spark 8C, 6.6"", 64GB + 2GB RAM (Dual SIM), 5000mAh, Magnet Black","KSh 12,999",4.5 out of 5
Generic C2-05 Slide Gsm Touch&Type Mobile Phone Black Blue Red Uk Seller,"KSh 2,700",4.3 out of 5
"Nokia C10 - 6.52"" - 32GB + 2GB - Dual SIM - Grey","KSh 9,380",5 out of 5
"Huawei Y9 2019 Smartphone 6.5"" HiSilicon Kirin 710 (4GB+128GB ) Dual SIM (Blue）","KSh 12,000",0 out of 5
"Itel A37, 5.7"", 16GB + 1GB RAM (Dual SIM), 3020mAh, Dark Blue","KSh 6,508",0 out of 5
"Oppo A57 USED Original SMART PHONE (3GB RAM+32GB ROM) 5.2 Inch,Global Version","KSh 4,599",0 out of 5
"Tecno Spark 8c, 6.5"", 64GB/2GB-RAM-16MP-(Dual SIM)-5000mAh-CYAN+ALL ESSENTIAL GIFTS","KSh 13,455",4.3 out of 5
"Tecno Spark 9T , 6.6"", 128GB ROM + 4GB RAM,Dual SIM, 5000mAh - Black","KSh 18,449",0 out of 5
X Tigi S23 Mini - 1.77'' - Big Torch - Big Speaker - 2000mAh - Green,"KSh 1,349",3.9 out of 5
"Infinix Smart 6, 6.6"" Display Size, (32GB+2GB)  (Dual SIM), 3G,&5 FREE GIFTS","KSh 11,300",4.4 out of 5
"Samsung Galaxy A13, 6.6"", 128GB + 4GB (Dual SIM), 5000 MAh, Blue + Smart Watch & Airpods","KSh 22,887",4 out of 5
"XIAOMI Redmi 10C 6.71'', (4GB RAM + 64GB)4G, 50MP ,5000mAh Battery, Dual SIM-Gray","KSh 15,999",0 out of 5
Not found,error,error
Oppo A3S 64GB + 4GBRAM - 4G LTE Dual SIM - 6.2-inch Display - Face Unlock（ Pink),"KSh 9,799",3.7 out of 5
Alcatel 3L 4gb Ram 64gb 48mp Camera 8mp Selfie 1sim,"KSh 8,999",3 out of 5
"Tecno Spark 9, 6.6"", 13MP, 64GB ROM  + 4GB RAM (Dual SIM), 5000mAh, Black + Free Gifts","KSh 15,899",0 out of 5
